"V400","V401","V402"
271.14,280.95,285.56
271.65,280.93,285.64
271.68,280.56,285.3
270.03,280.64,285.26
274.58,284.12,285.95
272.91,283.2,286.16
271.34,279.88,284.99
274.89,281.98,285.41
273.15,281.78,285.52
271.29,280.51,285.05
271.37,281.08,285.33
261.55,276.37,284.16
265.27,276.8,283.99
273.73,280.63,284.79
275.26,281.84,285.09
273.26,281.18,284.9
267.13,277.84,283.95
272.81,280.48,284.37
275.84,282.48,284.98
278.56,284.06,285.17
278.68,284.5,285.33
273.87,281.09,284.56
274.16,281.02,284.48
276.23,283.53,285.17
267.82,278.07,283.67
268.06,277.81,283.54
260.86,274.85,282.92
261.63,276.08,283.18
266.2,277.63,283.31
268.19,278.42,283.42
268.28,278.26,283.28
267.81,277.84,283
268.42,278.15,282.96
269.39,278.94,283.18
270.08,279.44,283.36
271.56,280.19,283.61
272.17,280.14,283.51
271.16,280.03,283.61
268.73,278.34,283
264.57,276.78,282.61
262.19,275.77,282.3
268.44,278.25,282.65
273.58,281.41,283.54
270.35,278.77,282.75
272.73,279.97,283
272.96,280.06,283.09
272.95,279.9,282.98
276.97,282.6,283.66
271.61,279.71,283.06
262.93,276.37,282.29
262.05,276.25,282.2
267.61,277.52,282.34
271.1,278.94,282.63
263.63,275.57,281.76
266.28,277.05,282.03
279.24,283.13,283.35
279.1,282.94,283.34
276.14,282.32,283.27
262.94,275.8,281.9
261.49,274.86,281.53
265,276.3,281.67
273.99,281.1,282.97
273.69,281.09,283.17
267.08,279.41,282.88
265.26,276.77,281.71
271.92,279.11,282.14
271.44,278.74,282.04
279.08,283.19,282.98
280.95,285.57,283.51
277.52,283.97,283.42
268.55,278.08,282.09
271.76,279.28,282.2
271.66,280.61,282.99
269.4,278.17,282.09
270.57,278.64,282.17
277.32,284.62,283.53
274.78,283.97,283.75
268.03,280.88,283.4
266.12,277.71,282.3
265.43,277.91,282.5
266.85,277.25,282.13
271.88,278.57,282.22
274.24,280.45,282.77
273.83,279.87,282.6
275.24,281.04,282.79
277.73,281.82,282.73
274.66,280.82,282.8
273.53,279.7,282.4
273.24,279.68,282.42
273.8,280.05,282.36
280.54,283.34,283.09
285.97,285.98,283.67
273.62,281.45,283.11
269.45,277.66,281.91
277.28,280.81,282.58
276.3,281.96,283.12
277.7,282.82,283.24
281.64,283.18,283.31
281.01,284.99,283.77
276.42,281.61,283.1
277.52,282.19,283.31
278.73,282.93,283.46
284.15,284.79,283.69
280.83,284.33,283.93
282.47,283.69,283.67
279.27,283.01,283.63
276.86,281.89,283.43
275.85,281.2,283.21
277.37,282.16,283.21
281.53,284.02,283.7
279.58,283.69,283.7
275.97,281.46,283.21
276.24,281.78,283.33
278.96,282.44,283.44
282.97,285.46,284.14
277.27,283,284.02
278.99,283.08,283.67
288.11,286.94,284.56
289.37,287.72,284.77
289.16,287.6,285.01
286.32,286.25,284.97
283.46,284.23,284.58
285.72,286.48,285.26
282.89,285.79,285.08
282.21,284.6,284.76
280.89,284.9,285.01
281.08,284.39,284.79
283.29,285.49,284.77
286.35,286.63,285.08
287.18,286.41,285
288.56,287.13,285.27
288.39,287.98,285.6
290.74,289.15,285.81
287.39,288.83,285.95
288.16,287.71,285.93
287.14,286.86,285.82
287.27,286.43,285.92
291.49,288.47,286.2
289.72,289.4,286.67
289.2,287.85,286.38
293.93,289.92,286.81
293.31,290.97,287.66
290.93,289.7,287.51
286.82,288.58,287.55
286.84,288.49,287.61
291.52,290.17,287.89
294.23,291.93,288.43
292.82,291.65,288.75
292.17,292.02,289.29
287.11,289.71,288.97
289.58,291.17,289.12
283.28,288.16,288.52
279.55,286.49,288.13
281.79,287.28,288.15
283.74,287.38,288.05
284.59,287.91,288.38
285.63,288.4,288.71
287.17,288.66,288.96
287.01,289.08,289.37
291.71,291.24,289.88
297.53,293.71,290.5
301.27,295.32,290.69
290.04,291.22,290.25
288.07,290.09,289.96
290.29,291.07,290.42
291.38,292.03,290.69
289.32,291.64,290.81
288.98,290.66,290.65
288.52,290.75,290.62
289.82,291.15,290.57
289.18,290.8,290.64
292.94,293.05,291.28
294.15,293.64,291.55
289.96,292.03,291.26
291.74,291.02,291.2
296.22,294.08,291.66
290.48,292.36,291.3
288.71,291.26,291.25
287.03,291.13,291.42
291.74,292.32,291.5
288.6,291.28,291.4
286.93,290.67,291.19
291.03,292.22,291.38
293.37,292.55,291.11
290.34,291.08,290.88
292.58,292.09,291.03
291.51,292.85,291.45
292.29,292.57,291.42
291.11,291.98,291.51
294.16,293.26,291.75
294.35,294.19,292.22
297.03,295.81,292.73
293.12,294.06,292.83
293.49,294.31,293.03
294.01,294.36,293.09
296.13,294.94,293.06
299.47,296.71,293.45
294.93,294.93,293.49
293.97,294.6,293.61
291.24,293.82,293.58
291.61,294.27,293.96
292.94,294.63,294.08
295.24,295.09,294.13
298,296.35,294.58
303.17,298.85,295.29
303.56,299.57,295.69
298.51,297.71,295.83
297.81,296.62,295.56
300.51,297.74,295.61
303.98,299.03,295.77
307.73,301.79,296.46
298.16,299.59,296.56
295.56,297.16,296.24
294.08,296.59,295.93
296.02,296.89,295.93
