"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
46,83.78285,90.536,78.1339999999998,40,2077-07-28,2077-09-05,208,7,32,15,2,0,6,2,0,78.1167199999999,0.951232876712329,0.999178082191781,0.819178082191781,63.2002975342466,75.3268470588235,"ny"
47,78.572,78.9619999999999,78.2780000000001,3,2077-09-10,2077-09-12,252,9,0,0,0,0,0,0,0,78.1167199999999,0.832602739726027,0.842465753424658,0.823561643835616,63.2002975342466,75.3268470588235,"ny"
48,82.358375,84.8839999999998,79.754,16,2077-09-15,2077-09-30,257,9,14,0,0,0,0,0,0,78.1167199999999,0.925205479452055,0.966575342465753,0.858082191780822,63.2002975342466,75.3268470588235,"ny"
49,79.4705,81.3560000000001,78.26,4,2078-06-19,2078-06-22,169,6,1,0,0,0,0,0,1,78.1167199999999,0.853424657534247,0.902465753424658,0.822465753424658,63.2002975342466,75.3268470588235,"ny"
50,79.0159999999999,79.8079999999999,78.494,3,2078-06-29,2078-07-01,179,6,0,0,0,0,0,0,0,78.1167199999999,0.843835616438356,0.86027397260274,0.82958904109589,63.2002975342466,75.3268470588235,"ny"
51,79.988,80.8700000000001,78.71,3,2078-07-03,2078-07-05,183,7,2,0,0,0,0,0,0,78.1167199999999,0.864931506849315,0.889315068493151,0.836164383561644,63.2002975342466,75.3268470588235,"ny"
52,82.0483076923077,86.126,78.1339999999998,52,2078-07-08,2078-08-28,188,7,46,3,0,0,0,0,0,78.1167199999999,0.919178082191781,0.977808219178082,0.819178082191781,63.2002975342466,75.3268470588235,"ny"
53,80.114,81.05,78.386,3,2079-06-10,2079-06-12,160,6,2,0,0,0,0,0,1,78.1167199999999,0.868493150684931,0.894246575342466,0.825753424657534,63.2002975342466,75.3268470588235,"ny"
54,79.3489999999999,79.8079999999999,78.8899999999999,2,2079-06-17,2079-06-18,167,6,0,0,0,0,0,0,0,78.1167199999999,0.850684931506849,0.86027397260274,0.83972602739726,63.2002975342466,75.3268470588235,"ny"
55,79.7822857142857,81.518,78.8,7,2079-06-30,2079-07-06,180,6,2,0,0,0,0,0,0,78.1167199999999,0.858356164383562,0.906301369863014,0.838082191780822,63.2002975342466,75.3268470588235,"ny"
56,83.1083243243243,87.1159999999999,79.8619999999999,37,2079-07-13,2079-08-18,193,7,35,8,0,0,0,0,0,78.1167199999999,0.938356164383562,0.986027397260274,0.861369863013699,63.2002975342466,75.3268470588235,"ny"
