"hw.number","mean.var","max.var","min.var","length","end.date","start.date","start.doy","start.month","days.above.abs.thresh.1","days.above.abs.thresh.2","days.above.abs.thresh.3","days.above.abs.thresh.4","days.above.99th","days.above.99.5th","first.in.year","threshold","mean.var.quantile","max.var.quantile","min.var.quantile","mean.yearround.var","mean.seasonal.var","city"
48,304.503846153846,307.01,301.86,13,2075-08-13,2075-08-01,212,8,13,10,6,0,4,2,0,301.4408,0.96958904109589,0.997260273972603,0.857260273972603,290.801610958904,299.871843137255,"balt"
49,302.885,303.06,302.71,2,2075-08-25,2075-08-24,235,8,2,2,0,0,0,0,0,301.4408,0.90986301369863,0.916986301369863,0.90027397260274,290.801610958904,299.871843137255,"balt"
50,301.84,302.06,301.62,2,2075-09-05,2075-09-04,246,9,2,0,0,0,0,0,0,301.4408,0.855890410958904,0.867671232876712,0.844657534246575,290.801610958904,299.871843137255,"balt"
51,303.866666666667,304.25,303.5,3,2076-06-15,2076-06-13,164,6,3,3,0,0,0,0,1,301.4408,0.947945205479452,0.963013698630137,0.936712328767123,290.801610958904,299.871843137255,"balt"
52,302.57,303.55,301.59,2,2076-07-06,2076-07-05,186,7,2,1,0,0,0,0,0,301.4408,0.892876712328767,0.938630136986301,0.842465753424658,290.801610958904,299.871843137255,"balt"
53,302.155,302.42,301.89,2,2076-07-10,2076-07-09,190,7,2,0,0,0,0,0,0,301.4408,0.873698630136986,0.884657534246575,0.859452054794521,290.801610958904,299.871843137255,"balt"
54,303.882,305.34,302.15,5,2076-07-16,2076-07-12,193,7,5,4,0,0,0,0,0,301.4408,0.948219178082192,0.983287671232877,0.873698630136986,290.801610958904,299.871843137255,"balt"
55,302.326,303.02,301.74,5,2076-07-23,2076-07-19,200,7,5,1,0,0,0,0,0,301.4408,0.880821917808219,0.915616438356164,0.850958904109589,290.801610958904,299.871843137255,"balt"
56,303.915833333333,305.07,301.84,12,2076-08-15,2076-08-04,216,8,12,11,0,0,0,0,0,301.4408,0.949315068493151,0.978082191780822,0.855890410958904,290.801610958904,299.871843137255,"balt"
57,302.92,304.48,302.1,8,2076-08-25,2076-08-18,230,8,8,5,0,0,0,0,0,301.4408,0.911506849315069,0.968219178082192,0.87041095890411,290.801610958904,299.871843137255,"balt"
58,302.356,303.84,301.62,5,2076-09-05,2076-09-01,244,9,5,1,0,0,0,0,0,301.4408,0.881643835616438,0.946849315068493,0.844657534246575,290.801610958904,299.871843137255,"balt"
59,301.725,301.85,301.6,2,2076-09-10,2076-09-09,252,9,2,0,0,0,0,0,0,301.4408,0.848493150684931,0.856438356164384,0.843013698630137,290.801610958904,299.871843137255,"balt"
60,301.9725,302.17,301.74,4,2076-09-18,2076-09-15,258,9,4,0,0,0,0,0,0,301.4408,0.861917808219178,0.875068493150685,0.850958904109589,290.801610958904,299.871843137255,"balt"
61,303.31,305,302.14,5,2077-06-19,2077-06-15,165,6,5,4,0,0,0,0,1,301.4408,0.927945205479452,0.976438356164384,0.872328767123288,290.801610958904,299.871843137255,"balt"
62,302.665,302.95,302.38,2,2077-06-28,2077-06-27,177,6,2,1,0,0,0,0,0,301.4408,0.898356164383562,0.912328767123288,0.883287671232877,290.801610958904,299.871843137255,"balt"
63,303.640357142857,305.83,301.69,28,2077-08-06,2077-07-10,190,7,28,26,2,0,0,0,0,301.4408,0.942191780821918,0.98958904109589,0.847397260273973,290.801610958904,299.871843137255,"balt"
64,302.767333333333,304.47,301.51,15,2077-08-22,2077-08-08,219,8,15,8,0,0,0,0,0,301.4408,0.904931506849315,0.967671232876712,0.837260273972603,290.801610958904,299.871843137255,"balt"
65,302.37,302.42,302.32,2,2077-08-25,2077-08-24,235,8,2,0,0,0,0,0,0,301.4408,0.882191780821918,0.884657534246575,0.880821917808219,290.801610958904,299.871843137255,"balt"
66,302.05,302.38,301.72,2,2077-08-31,2077-08-30,241,8,2,0,0,0,0,0,0,301.4408,0.867397260273973,0.883287671232877,0.848493150684931,290.801610958904,299.871843137255,"balt"
67,301.955,302.22,301.69,2,2078-05-22,2078-05-21,140,5,2,0,0,0,0,0,1,301.4408,0.86027397260274,0.877534246575343,0.847397260273973,290.801610958904,299.871843137255,"balt"
68,301.795,301.97,301.62,2,2078-06-06,2078-06-05,155,6,2,0,0,0,0,0,0,301.4408,0.852876712328767,0.861917808219178,0.844657534246575,290.801610958904,299.871843137255,"balt"
69,302.46,302.62,302.3,2,2078-06-13,2078-06-12,162,6,2,1,0,0,0,0,0,301.4408,0.886575342465753,0.895616438356164,0.879452054794521,290.801610958904,299.871843137255,"balt"
70,302.495,302.55,302.44,2,2078-06-16,2078-06-15,165,6,2,0,0,0,0,0,0,301.4408,0.888767123287671,0.891780821917808,0.885753424657534,290.801610958904,299.871843137255,"balt"
71,303.455,303.76,303.15,2,2078-06-25,2078-06-24,174,6,2,2,0,0,0,0,0,301.4408,0.933972602739726,0.945205479452055,0.921917808219178,290.801610958904,299.871843137255,"balt"
72,303.69,304.22,303.16,2,2078-07-01,2078-06-30,180,6,2,2,0,0,0,0,0,301.4408,0.943013698630137,0.962191780821918,0.922739726027397,290.801610958904,299.871843137255,"balt"
73,303.263333333333,303.91,302.45,6,2078-07-11,2078-07-06,186,7,6,4,0,0,0,0,0,301.4408,0.926849315068493,0.949315068493151,0.886575342465753,290.801610958904,299.871843137255,"balt"
74,302.08,302.43,301.73,2,2078-07-15,2078-07-14,194,7,2,0,0,0,0,0,0,301.4408,0.86958904109589,0.885479452054795,0.84958904109589,290.801610958904,299.871843137255,"balt"
75,302.805714285714,303.97,301.89,7,2078-07-24,2078-07-18,198,7,7,3,0,0,0,0,0,301.4408,0.907123287671233,0.951232876712329,0.859452054794521,290.801610958904,299.871843137255,"balt"
76,303.17,303.23,303.11,2,2078-07-28,2078-07-27,207,7,2,2,0,0,0,0,0,301.4408,0.922739726027397,0.924657534246575,0.920821917808219,290.801610958904,299.871843137255,"balt"
77,301.685,301.79,301.58,2,2078-08-03,2078-08-02,213,8,2,0,0,0,0,0,0,301.4408,0.846849315068493,0.852876712328767,0.841643835616438,290.801610958904,299.871843137255,"balt"
78,303.45619047619,306.38,301.49,21,2078-08-25,2078-08-05,216,8,21,16,1,0,1,0,0,301.4408,0.933972602739726,0.993698630136986,0.835616438356164,290.801610958904,299.871843137255,"balt"
79,302.336666666667,303.12,301.5,3,2079-06-01,2079-05-30,149,5,3,1,0,0,0,0,1,301.4408,0.881095890410959,0.921369863013699,0.836438356164384,290.801610958904,299.871843137255,"balt"
80,304.81,308.12,301.61,14,2079-07-18,2079-07-05,185,7,14,12,6,0,5,3,0,301.4408,0.974246575342466,0.999452054794521,0.843835616438356,290.801610958904,299.871843137255,"balt"
81,303.343333333333,304.57,301.9,3,2079-07-23,2079-07-21,201,7,3,2,0,0,0,0,0,301.4408,0.92958904109589,0.97041095890411,0.85972602739726,290.801610958904,299.871843137255,"balt"
82,303.688666666667,305.11,302.15,15,2079-08-14,2079-07-31,211,7,15,14,0,0,0,0,0,301.4408,0.943013698630137,0.979178082191781,0.873698630136986,290.801610958904,299.871843137255,"balt"
83,302.58,302.97,302.07,3,2079-08-18,2079-08-16,227,8,3,2,0,0,0,0,0,301.4408,0.893698630136986,0.913150684931507,0.868493150684931,290.801610958904,299.871843137255,"balt"
84,302.22,302.47,301.97,2,2079-08-21,2079-08-20,231,8,2,0,0,0,0,0,0,301.4408,0.877534246575343,0.887671232876712,0.861917808219178,290.801610958904,299.871843137255,"balt"
85,303.158,303.74,302.3,5,2079-09-02,2079-08-29,240,8,5,4,0,0,0,0,0,301.4408,0.921917808219178,0.944383561643836,0.879452054794521,290.801610958904,299.871843137255,"balt"
86,303.165,304.42,301.91,2,2079-09-05,2079-09-04,246,9,2,1,0,0,0,0,0,301.4408,0.922739726027397,0.966301369863014,0.86,290.801610958904,299.871843137255,"balt"
1,301.21,301.82,300.6,2,2070-06-04,2070-06-03,153,6,2,0,0,0,0,0,1,300.49,0.856712328767123,0.884657534246575,0.828493150684931,289.663323287671,299.051339869281,"ny"
2,301.536666666667,302.91,300.54,3,2070-06-19,2070-06-17,167,6,3,1,0,0,0,0,0,300.49,0.871506849315068,0.925205479452055,0.824657534246575,289.663323287671,299.051339869281,"ny"
3,302.656428571429,305.12,300.49,14,2070-07-20,2070-07-07,187,7,14,8,0,0,0,0,0,300.49,0.917808219178082,0.982465753424658,0.823013698630137,289.663323287671,299.051339869281,"ny"
