"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
68,83.102,85.0280000000001,81.446,5,2079-05-29,2079-06-02,148,5,5,1,0,0,0,0,1,81.2119999999999,0.863287671232877,0.90986301369863,0.83013698630137,61.9635791780822,78.6117176470588,"ny"
69,83.1559999999999,84.3619999999999,81.7339999999999,3,2079-06-07,2079-06-09,157,6,3,0,0,0,0,0,0,81.2119999999999,0.864931506849315,0.893698630136986,0.838904109589041,61.9635791780822,78.6117176470588,"ny"
70,83.294,84.974,81.4280000000001,3,2079-06-25,2079-06-27,175,6,3,0,0,0,0,0,0,81.2119999999999,0.867945205479452,0.908767123287671,0.829315068493151,61.9635791780822,78.6117176470588,"ny"
71,82.85,83.498,82.2020000000001,2,2079-06-30,2079-07-01,180,6,2,0,0,0,0,0,0,81.2119999999999,0.857260273972603,0.871780821917808,0.847945205479452,61.9635791780822,78.6117176470588,"ny"
72,88.5003255813953,94.442,81.5539999999999,43,2079-07-03,2079-08-14,183,7,43,36,16,0,9,4,0,81.2119999999999,0.967671232876712,0.999178082191781,0.833150684931507,61.9635791780822,78.6117176470588,"ny"
73,82.742,83.6780000000001,81.806,2,2079-08-17,2079-08-18,228,8,2,0,0,0,0,0,0,81.2119999999999,0.855342465753425,0.876438356164384,0.841095890410959,61.9635791780822,78.6117176470588,"ny"
74,83.5969999999999,83.7319999999999,83.4619999999999,2,2079-08-20,2079-08-21,231,8,2,0,0,0,0,0,0,81.2119999999999,0.874794520547945,0.878082191780822,0.870958904109589,61.9635791780822,78.6117176470588,"ny"
75,84.488,87.044,81.986,3,2079-08-23,2079-08-25,234,8,3,1,0,0,0,0,0,81.2119999999999,0.896164383561644,0.949041095890411,0.843835616438356,61.9635791780822,78.6117176470588,"ny"
1,82.742,83.714,81.77,2,2070-06-05,2070-06-06,155,6,2,0,0,0,0,0,1,81.2119999999999,0.855342465753425,0.876986301369863,0.84027397260274,61.9635791780822,78.6117176470588,"nwk"
2,85.4908571428571,88.556,81.3560000000001,7,2070-06-14,2070-06-20,164,6,7,4,0,0,0,0,0,81.2119999999999,0.91972602739726,0.968219178082192,0.826849315068493,61.9635791780822,78.6117176470588,"nwk"
3,82.712,83.66,81.4819999999999,3,2070-06-29,2070-07-01,179,6,3,0,0,0,0,0,0,81.2119999999999,0.854794520547945,0.876164383561644,0.831232876712329,61.9635791780822,78.6117176470588,"nwk"
4,83.735,85.838,81.2839999999999,6,2070-07-03,2070-07-08,183,7,6,2,0,0,0,0,0,81.2119999999999,0.878082191780822,0.924931506849315,0.826027397260274,61.9635791780822,78.6117176470588,"nwk"
5,83.264,84.4339999999999,82.094,2,2070-07-10,2070-07-11,190,7,2,0,0,0,0,0,0,81.2119999999999,0.867397260273973,0.895342465753425,0.844931506849315,61.9635791780822,78.6117176470588,"nwk"
