"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
63,82.298,83.714,81.3560000000001,3,2077-08-29,2077-08-31,240,8,3,0,0,0,0,0,0,81.2119999999999,0.852602739726027,0.889041095890411,0.826575342465753,61.7239819178082,78.6224117647059,"nwk"
64,81.554,81.716,81.392,2,2078-06-08,2078-06-09,158,6,2,0,0,0,0,0,1,81.2119999999999,0.833424657534247,0.836986301369863,0.828219178082192,61.7239819178082,78.6224117647059,"nwk"
65,83.831,84.974,82.6879999999999,2,2078-06-12,2078-06-13,162,6,2,0,0,0,0,0,0,81.2119999999999,0.891506849315069,0.916164383561644,0.862739726027397,61.7239819178082,78.6224117647059,"nwk"
66,83.336,84.3619999999999,82.364,4,2078-06-15,2078-06-18,165,6,4,0,0,0,0,0,0,81.2119999999999,0.877534246575343,0.905205479452055,0.853424657534247,61.7239819178082,78.6224117647059,"nwk"
67,84.65,85.8560000000001,83.642,4,2078-06-22,2078-06-25,172,6,4,1,0,0,0,0,0,81.2119999999999,0.911780821917808,0.932876712328767,0.886301369863014,61.7239819178082,78.6224117647059,"nwk"
68,83.936,85.5860000000001,82.0579999999999,3,2078-06-30,2078-07-02,180,6,3,1,0,0,0,0,0,81.2119999999999,0.894246575342466,0.925479452054795,0.845753424657534,61.7239819178082,78.6224117647059,"nwk"
69,85.163,87.512,82.8319999999999,6,2078-07-06,2078-07-11,186,7,6,3,0,0,0,0,0,81.2119999999999,0.919178082191781,0.959178082191781,0.866849315068493,61.7239819178082,78.6224117647059,"nwk"
70,83.012,83.714,82.31,2,2078-07-14,2078-07-15,194,7,2,0,0,0,0,0,0,81.2119999999999,0.870684931506849,0.889041095890411,0.853150684931507,61.7239819178082,78.6224117647059,"nwk"
71,84.582,86.216,81.2659999999999,9,2078-07-17,2078-07-25,197,7,9,4,0,0,0,0,0,81.2119999999999,0.909315068493151,0.938904109589041,0.824109589041096,61.7239819178082,78.6224117647059,"nwk"
72,84.266,86.0719999999999,82.85,3,2078-07-27,2078-07-29,207,7,3,1,0,0,0,0,0,81.2119999999999,0.902739726027397,0.937808219178082,0.867123287671233,61.7239819178082,78.6224117647059,"nwk"
73,82.5215,83.102,81.896,4,2078-07-31,2078-08-03,211,7,4,0,0,0,0,0,0,81.2119999999999,0.856712328767123,0.872328767123288,0.841095890410959,61.7239819178082,78.6224117647059,"nwk"
74,86.7614,89.222,83.138,10,2078-08-05,2078-08-14,216,8,10,9,0,0,0,0,0,81.2119999999999,0.948493150684931,0.978904109589041,0.872876712328767,61.7239819178082,78.6224117647059,"nwk"
75,84.60725,89.06,81.4999999999999,8,2078-08-18,2078-08-25,229,8,8,3,0,0,0,0,0,81.2119999999999,0.91013698630137,0.976438356164384,0.831506849315068,61.7239819178082,78.6224117647059,"nwk"
