"hw.number","mean.var","max.var","min.var","length","end.date","start.date","start.doy","start.month","days.above.abs.thresh.1","days.above.abs.thresh.2","days.above.abs.thresh.3","days.above.abs.thresh.4","days.above.99th","days.above.99.5th","first.in.year","threshold","mean.var.quantile","max.var.quantile","min.var.quantile","mean.yearround.var","mean.seasonal.var","city"
35,304.415,305.33,303.5,2,2077-05-25,2077-05-24,143,5,2,2,0,0,0,0,1,302.1802,0.941095890410959,0.952602739726027,0.926575342465753,287.168723287671,297.554954248366,"balt"
36,308.19,310.9,303.35,4,2077-06-08,2077-06-05,155,6,4,4,3,3,2,2,0,302.1802,0.983013698630137,0.997808219178082,0.922739726027397,287.168723287671,297.554954248366,"balt"
37,303.385,304.41,302.36,2,2077-06-24,2077-06-23,173,6,2,1,0,0,0,0,0,302.1802,0.923561643835616,0.941095890410959,0.906027397260274,287.168723287671,297.554954248366,"balt"
38,307.586666666667,310.63,304.7,6,2077-07-10,2077-07-05,185,7,6,6,4,3,1,1,0,302.1802,0.976712328767123,0.996986301369863,0.947123287671233,287.168723287671,297.554954248366,"balt"
39,305.0225,307.07,302.33,4,2077-08-05,2077-08-02,213,8,4,3,2,0,0,0,0,302.1802,0.95013698630137,0.973698630136986,0.905479452054795,287.168723287671,297.554954248366,"balt"
40,307.311,310.84,302.46,10,2077-08-17,2077-08-08,219,8,10,9,8,5,2,1,0,302.1802,0.975616438356164,0.997260273972603,0.908767123287671,287.168723287671,297.554954248366,"balt"
41,305.851666666667,310.56,302.2,6,2077-08-25,2077-08-20,231,8,6,5,2,2,1,1,0,302.1802,0.960821917808219,0.996712328767123,0.902739726027397,287.168723287671,297.554954248366,"balt"
42,305.695,309.06,303.08,6,2077-09-03,2077-08-29,240,8,6,6,3,1,1,0,0,302.1802,0.958356164383562,0.99041095890411,0.918082191780822,287.168723287671,297.554954248366,"balt"
43,305.56,306.16,304.63,8,2077-09-25,2077-09-18,260,9,8,8,6,0,0,0,0,302.1802,0.956712328767123,0.964657534246575,0.945753424657534,287.168723287671,297.554954248366,"balt"
44,303.123333333333,303.81,302.4,3,2077-09-29,2077-09-27,269,9,3,2,0,0,0,0,0,302.1802,0.918630136986301,0.931506849315068,0.907397260273973,287.168723287671,297.554954248366,"balt"
